field,content,purpose
case_id,案例唯一编号,链接清洗数据、LLM抽取结果、KG节点与因果矩阵
source_file/source_case_no,来源文件与原始案例编号,数据追溯和复核
title,事故标题,案例识别与 AccidentCase 节点名称
accident_type,事故类型,类型统计、控制变量和 AccidentType 节点
date/date_time,事故时间,年份分布与时序统计
location,事故地点/工程场景,脱敏后保留泛化地点，用于场景分析
process_text/raw_text,事故经过,证据片段切分和事故演化抽取
cause_text/direct_cause_text/indirect_cause_text,事故原因,24Model致因实体和关系抽取
consequence_text/economic_loss_text,事故后果,严重后果变量和后果节点
measures_text,整改与预防措施,PreventiveMeasure 节点和 controlledBy 关系
privacy_status,脱敏状态,标记公开数据是否完成不可逆脱敏
