treatment,label,support,treated_n,control_n,unadjusted_rd,adjusted_ate,ci95_low,ci95_high,p_value,common_cause_count,run_success,needs_review,skip_reason
存在安全管理体系缺陷,SafetyManagementDefect,449,449,7,-0.07349665924276172,,,,,6,False,True,low_control_support:7<min_support:20
存在物的不安全状态,UnsafeObjectState,440,440,16,-0.010227272727272751,,,,,12,False,True,low_control_support:16<min_support:20
存在人的不安全动作,UnsafeAction,409,409,47,0.10908807158091871,0.10598921916881698,-0.027938513619875146,0.25798227740632684,0.15973433026562586,12,True,False,
隐患排查治理,SafetyManagementDefect,304,304,152,0.02960526315789469,0.03362108344869785,-0.021277017539856072,0.08385311930950864,0.20787285575398695,6,True,False,
监督检查,SafetyManagementDefect,156,156,300,0.02230769230769225,0.029155342748064528,-0.018129076456574095,0.07645228377714255,0.25326921170591676,6,True,False,
隐患整改不闭环,SafetyManagementDefect,102,102,354,-0.00780990362246603,0.0011928847663996711,-0.06519641216714901,0.05936976356882328,0.9697920650657795,6,True,False,
安全责任未落实,SafetyManagementDefect,101,101,355,-0.021503277088272155,-0.014787575232854566,-0.07838414257062028,0.04448172689127999,0.6221289398902848,6,True,False,
安全培训不足,SafetyManagementDefect,60,60,396,0.06414141414141405,0.06252837355025631,0.01400655828564095,0.10945148765006706,0.009546558830252894,6,True,False,
安全知识教育不足,SafetyManagementDefect,53,53,403,0.060536541972938784,0.06019682954188965,0.008001386222772149,0.10238493387993892,0.0066628397619721514,6,True,False,
作业人员不了解风险和控制措施,SafetyManagementDefect,53,53,403,0.060536541972938784,0.052736944152003695,0.0075083085051444055,0.09477497547856095,0.018439738334572166,6,True,False,
未按地质水文条件调整方案,SafetyManagementDefect,48,48,408,0.011029411764705843,0.01832955432433725,-0.05866745094239554,0.09225306443012679,0.6360128506867847,6,True,False,
未识别危险源,SafetyManagementDefect,43,43,413,0.028548904780674622,0.02091871000129375,-0.053184633455485894,0.08064290458622364,0.5415681808975321,6,True,False,
职责不清,SafetyManagementDefect,40,40,416,-0.0028846153846153744,0.001964216266598262,-0.08918547400342856,0.080848209345847,0.9649962137707186,6,True,False,
交叉作业协调不足,SafetyManagementDefect,38,38,418,-0.0071770334928229484,-0.020909406244341677,-0.11536574658600833,0.06124333983171858,0.6477677498515328,6,True,False,
专项安全技术交底不足,SafetyManagementDefect,37,37,419,0.019931626136876712,0.018712896056385597,-0.07774802206035278,0.0882818348207183,0.6576763787730329,6,True,False,
职工安全知识教育不足,SafetyManagementDefect,23,23,433,0.03042474143990359,0.06757789792522129,-0.03230721128338556,0.16800060532408173,0.21185654930513245,6,True,False,
安全监督检查不力,SafetyManagementDefect,21,21,435,0.07586206896551728,,,,,6,False,True,"separation_or_empty_cell:[21, 0, 402, 33]"
未系安全带,UnsafeAction,21,21,435,-0.02397372742200332,-0.020359083691535718,-0.16740088013178792,0.09351636405026441,0.7731545000867143,12,True,False,
方案未落实,SafetyManagementDefect,20,20,436,-0.0811926605504587,-0.08661090765011203,-0.25507456246149446,0.06061628655258936,0.28798636561422497,6,True,False,
专项施工方案,SafetyManagementDefect,20,20,436,0.07568807339449546,,,,,6,False,True,"separation_or_empty_cell:[20, 0, 403, 33]"
