entity_type,raw_count,canonical_count,merged_or_reduced,reduction_percent,case_coverage
AccidentCase,456,456,0,0.0,456
AccidentProcess,486,410,76,15.64,386
AccidentType,92,81,11,11.96,92
Consequence,206,150,56,27.18,157
ConstructionActivity,259,240,19,7.34,221
EngineeringObject,369,352,17,4.61,269
EnvironmentCondition,227,208,19,8.37,190
EquipmentFacility,136,130,6,4.41,121
PreventiveMeasure,916,731,185,20.2,391
SafetyCapabilityDefect,770,597,173,22.47,349
SafetyCultureDefect,116,92,24,20.69,106
SafetyManagementDefect,1238,937,301,24.31,394
UnsafeAction,549,491,58,10.56,323
UnsafeObjectState,797,706,91,11.42,379
