entity_type,factor,case_count,mention_count,evidence_count,needs_review
SafetyManagementDefect,安全培训不足,18,19,19,False
SafetyCapabilityDefect,安全教育培训不足,18,18,18,False
SafetyCultureDefect,安全教育培训不足,12,12,12,False
SafetyCapabilityDefect,安全知识不足,12,12,12,False
SafetyManagementDefect,安全责任未落实,11,12,11,False
SafetyManagementDefect,安全知识教育不足,10,10,9,True
SafetyManagementDefect,现场安全监督不足,9,10,9,False
SafetyManagementDefect,职工安全知识教育不足,9,10,10,False
SafetyManagementDefect,安全技术措施缺失,9,9,9,False
SafetyManagementDefect,施工现场安全监察力度不足,8,8,7,False
SafetyManagementDefect,作业人员安全意识不足,7,7,7,True
SafetyManagementDefect,隐患排查不彻底,7,7,7,False
SafetyManagementDefect,安全监督检查不力,6,6,6,True
SafetyCapabilityDefect,职工安全意识差,6,6,6,True
SafetyManagementDefect,现场作业安全管理和检查不足,5,6,5,False
SafetyManagementDefect,安全检查监督不够,5,5,5,False
SafetyCapabilityDefect,起重作业安全知识不足,5,5,5,True
SafetyCapabilityDefect,违章作业,5,5,5,False
SafetyManagementDefect,安全员监管力度不足,4,5,4,True
SafetyManagementDefect,监理单位监督,4,5,4,False
SafetyCapabilityDefect,作业人员A安全自我保护意识不强,4,4,4,False
SafetyCapabilityDefect,安全操作规程执行不足,4,4,4,True
SafetyManagementDefect,施工现场安全管理不足,4,4,4,True
SafetyManagementDefect,施工现场监督检查不力,4,4,4,True
UnsafeAction,无证驾车,4,4,4,False
SafetyCapabilityDefect,无证驾车,4,4,4,False
UnsafeObjectState,未采取安全防护措施,4,4,4,False
SafetyCapabilityDefect,违反操作规程,4,4,4,False
SafetyCapabilityDefect,高空作业未按规定系安全带,3,4,3,False
UnsafeAction,临危措施处理不当,3,3,3,False
